question,answer
"ราคาเท่าไหร่","ค่าบริการคิดต่อแมว 1 ตัวค่ะ · ค้างคืนแบบโรงแรมจัดอาหาร น้ำ และทรายให้ 250 บาท/ตัว/คืน · ค้างคืนแบบเจ้าของนำอาหารและทรายเต้าหู้มาเอง 150 บาท/ตัว/คืน · ฝากรายชั่วโมงไม่เกิน 6 ชั่วโมง 100 บาท/ตัว · วิลล่าและคอนโดราคาเท่ากันค่ะ กดปุ่ม จองห้องพัก ในเมนูด้านล่างเพื่อดูยอดรวมของวันที่ต้องการได้เลยค่ะ"
"ฝากรายชั่วโมงคิดยังไง","ฝากไม่เกิน 6 ชั่วโมง คิด 100 บาทต่อตัวค่ะ หากเกิน 6 ชั่วโมงในวันเดียวกันจะคิดเป็นราคาค้างคืนแทนค่ะ"
"แพ็กเกจ 150 กับ 250 ต่างกันยังไง","แพ็กเกจ 250 บาท/ตัว/คืน ทางโรงแรมจัดอาหาร น้ำ และทรายให้ครบค่ะ ส่วนแพ็กเกจ 150 บาท/ตัว/คืน เจ้าของนำอาหารและทรายเต้าหู้มาเองค่ะ"
"วิลล่ากับคอนโดต่างกันยังไง","วิลล่ารับได้ 1-2 ตัวต่อห้อง คอนโดรับได้ 2-4 ตัวต่อห้องค่ะ ราคาเท่ากันทั้งสองแบบ แมวที่พักห้องเดียวกันต้องเป็นของเจ้าของหรือครอบครัวเดียวกันเท่านั้นค่ะ"
"แมวหลายตัวอยู่ห้องเดียวกันได้ไหม","ได้ค่ะ หากเป็นแมวของเจ้าของหรือครอบครัวเดียวกัน วิลล่ารับ 1-2 ตัว คอนโดรับ 2-4 ตัวต่อห้องค่ะ ทางเราไม่รวมแมวต่างเจ้าของไว้ห้องเดียวกัน แม้ห้องจะยังมีพื้นที่เหลือค่ะ"
"รับแมวได้สูงสุดกี่ตัว","โรงแรมรับแมวรวมทั้งหมดไม่เกิน 30 ตัวต่อวันค่ะ เพื่อให้ดูแลได้ทั่วถึง ห้องว่างของแต่ละวันกรุณากดปุ่ม จองห้องพัก ในเมนูเพื่อตรวจสอบค่ะ"
"ห้องว่างไหม","ห้องว่างเปลี่ยนแปลงตลอดเวลาค่ะ รบกวนกดปุ่ม จองห้องพัก ในเมนูด้านล่าง เพื่อตรวจสอบห้องว่างของวันที่ต้องการค่ะ"
"เปิดกี่โมง","เปิดบริการทุกวัน 08:30 - 18:00 น. ค่ะ"
"เช็กอินเช็กเอาต์กี่โมง","เช็กอิน 08:30 - 18:00 น. และรับกลับ 12:00 - 18:00 น. ค่ะ"
"มารับช้ากว่า 18:00 ได้ไหม","รับกลับช้าได้ถึง 20:00 น. ค่ะ รบกวนโทรแจ้งล่วงหน้าที่ 083-917-8794 ไม่มีค่าใช้จ่ายเพิ่มค่ะ"
